author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Мегалит–Охта Групп,developer,https://spb.cian.ru/sale/flat/297024229/,Санкт-Петербург,sale,flat,3,16,2,53.06,-1,0,15092439.0,Приморский,Коломяжский проспект,13к3,Пионерская,Приморский квартал
Ринкон,real_estate_agent,https://spb.cian.ru/sale/flat/299610962/,Санкт-Петербург,sale,flat,8,16,3,87.6,-1,0,15000000.0,Красносельский, Доблести,28к1,Ленинский проспект,
Ринкон,real_estate_agent,https://spb.cian.ru/sale/flat/301183903/,Санкт-Петербург,sale,flat,4,5,1,31.6,-1,0,5100000.0,Калининский,Кондратьевский проспект,52,Выборгская,
AAG,developer,https://spb.cian.ru/sale/flat/298322121/,Санкт-Петербург,sale,flat,3,9,3,94.6,-1,0,38357083.0,Красногвардейский, Помяловского,3,Новочеркасская,Akzent
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/285457311/,Санкт-Петербург,sale,flat,3,7,5,253.0,-1,0,187793970.0,Петроградский,проспект Динамо,12,Крестовский остров,
Диалог,real_estate_agent,https://spb.cian.ru/sale/flat/296046045/,Санкт-Петербург,sale,flat,5,5,1,30.6,-1,0,5190000.0,Московский,Краснопутиловская ,58,Ленинский проспект,
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/304746168/,Санкт-Петербург,sale,flat,2,4,1,30.12,-1,0,6700043.0,Петродворцовый,,,Автово,Дворцовый фасад ЖК
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303543125/,Санкт-Петербург,sale,flat,6,12,2,55.25,-1,0,12600038.0,Приморский,Коломяги,,Проспект Просвещения,Бионика Заповедная
Century 21 Гарант,real_estate_agent,https://spb.cian.ru/sale/flat/302923423/,Санкт-Петербург,sale,flat,1,10,1,42.2,-1,0,6800000.0,Невский, Тельмана,50К3,Улица Дыбенко,
Унистрой,developer,https://spb.cian.ru/sale/flat/296297983/,Санкт-Петербург,sale,flat,2,5,1,27.25,-1,0,8313000.0,Курортный,,,Беговая,Лисино ЖК
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303691270/,Санкт-Петербург,sale,flat,1,5,1,36.8,-1,0,7100247.0,Московский, Струве,10к2,Звездная,Зеленый квартал
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/304371605/,Санкт-Петербург,sale,flat,4,12,1,31.38,-1,0,8650053.0,Московский,м. Ленинский проспект,,Ленинский проспект,Титул в Московском
VEREN GROUP,developer,https://spb.cian.ru/sale/flat/292425349/,Санкт-Петербург,sale,flat,4,10,3,61.1,-1,0,13339291.0,Приморский,Парашютная ,79к1,Комендантский проспект,Veren Next Шуваловский
PRO.Flat,real_estate_agent,https://spb.cian.ru/sale/flat/295283735/,Санкт-Петербург,sale,flat,17,17,1,39.4,-1,0,7199000.0,Московский,Дунайский проспект,5к5,Звездная,Пулковский посад
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/302025716/,Санкт-Петербург,sale,flat,4,12,1,39.06,-1,0,9896868.0,Московский,Звёздное,,Звездная,Аквилон Ливз 2 ЖК
Century 21 Гарант,real_estate_agent,https://spb.cian.ru/sale/flat/295692233/,Санкт-Петербург,sale,flat,3,18,1,35.5,-1,0,7200000.0,Красносельский,проспект Кузнецова,10к2,Ленинский проспект,Южный
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303026958/,Санкт-Петербург,sale,flat,8,10,3,93.1,-1,0,36029700.0,Выборгский,Манчестерская ,5к1,Удельная,Svetlana Park
PRO.Flat,real_estate_agent,https://spb.cian.ru/sale/flat/303757770/,Санкт-Петербург,sale,flat,3,9,2,44.3,-1,0,7299999.0,Невский,Дальневосточный проспект,34К1,Улица Дыбенко,
Терминал-Ресурс,developer,https://spb.cian.ru/sale/flat/293667114/,Санкт-Петербург,sale,flat,3,4,1,26.22,-1,0,5332010.0,Пушкинский, Образцовая,2,Купчино,Образцовый квартал 13
Century 21 Гарант,real_estate_agent,https://spb.cian.ru/sale/flat/301390423/,Санкт-Петербург,sale,flat,5,5,2,44.2,-1,0,7390000.0,Фрунзенский,Будапештская ,43К3,Проспект Славы,
Унистрой,developer,https://spb.cian.ru/sale/flat/301945595/,Санкт-Петербург,sale,flat,4,5,2,55.55,-1,0,13686000.0,Курортный,,,,Лисино ЖК
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/294544969/,Санкт-Петербург,sale,flat,6,8,3,70.31,-1,0,28581015.0,Петроградский,Ремесленная ,15,Крестовский остров,Neva Residence
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/300497297/,Санкт-Петербург,sale,flat,2,9,3,101.0,-1,0,28179000.0,Выборгский, Александра Матросова,3,Лесная,Притяжение
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/302621776/,Санкт-Петербург,sale,flat,2,12,2,50.72,-1,0,13650121.0,Московский,м. Ленинский проспект,,Ленинский проспект,Титул в Московском
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/304792398/,Санкт-Петербург,sale,flat,3,8,3,86.4,-1,0,36936000.0,Василеостровский,,,Горный институт,Империал Клаб ЖК
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/302025839/,Санкт-Петербург,sale,flat,4,12,2,64.91,-1,0,15178963.0,Московский,Звёздное,,Звездная,Аквилон Ливз 2 ЖК
Century 21 Гарант,real_estate_agent,https://spb.cian.ru/sale/flat/303335231/,Санкт-Петербург,sale,flat,3,3,3,56.5,-1,0,8900000.0,Красносельский,2-я Комсомольская ,16К2,Ленинский проспект,
ID 118954406,homeowner,https://spb.cian.ru/sale/flat/304532412/,Санкт-Петербург,sale,flat,1,3,2,64.0,-1,0,8140000.0,Кронштадтский,Флотская ,13,,
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303906742/,Санкт-Петербург,sale,flat,2,4,2,50.95,-1,0,12100115.0,Петродворцовый,,,Автово,Дворцовый фасад ЖК
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/291149538/,Санкт-Петербург,sale,flat,3,25,1,38.4,-1,0,6980000.0,Пушкинский,проспект Новгородский,8,Купчино,Шушары
Century 21 Гарант,real_estate_agent,https://spb.cian.ru/sale/flat/303759607/,Санкт-Петербург,sale,flat,11,20,3,62.6,-1,0,14900000.0,Красносельский, Адмирала Коновалова,2-4,Ленинский проспект,Жемчужный фрегат
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/297998673/,Санкт-Петербург,sale,flat,3,9,3,99.12,-1,0,43156848.0,Василеостровский,20-я Васильевского острова линия,19,Василеостровская,"Большой, 67"
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/304756633/,Санкт-Петербург,sale,flat,3,10,3,69.4,-1,0,13500000.0,Приморский,Яхтенная ,9К1,Беговая,
АЛЕФ-недвижимость,real_estate_agent,https://spb.cian.ru/sale/flat/296779578/,Санкт-Петербург,sale,flat,12,12,1,35.3,-1,0,7600000.0,Приморский,Школьная ,72,Старая Деревня,
Трест 36,developer,https://spb.cian.ru/sale/flat/299783305/,Санкт-Петербург,sale,flat,4,8,2,63.72,-1,0,15930000.0,Невский, Седова,89К3,Ломоносовская,Belevsky Club
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/270083815/,Санкт-Петербург,sale,flat,7,10,3,72.9,-1,0,9600000.0,Красносельский, Коммунаров,118к1,Ленинский проспект,
Этажи Санкт-Петербург,real_estate_agent,https://spb.cian.ru/sale/flat/304546265/,Санкт-Петербург,sale,flat,14,25,1,33.2,-1,0,6840000.0,Приморский,Парашютная ,65,Комендантский проспект,Шуваловский
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/302560239/,Санкт-Петербург,sale,flat,3,13,2,57.38,-1,0,16663483.0,Калининский,Полюстровский проспект,,Площадь Мужества,Respect
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/304558754/,Санкт-Петербург,sale,flat,7,9,2,45.7,-1,0,8720000.0,Выборгский, Асафьева,2К1,Проспект Просвещения,
Century 21 Гарант,real_estate_agent,https://spb.cian.ru/sale/flat/300753915/,Санкт-Петербург,sale,flat,7,12,1,35.2,-1,0,11000000.0,Московский,2-й Предпортовый проезд,6,Звездная,Полис на Московской
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303870458/,Санкт-Петербург,sale,flat,2,7,1,37.11,-1,0,12600051.0,Невский,проспект Обуховской обороны,36,Елизаровская,Astra Marine на набережной
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/304394535/,Санкт-Петербург,sale,flat,6,12,2,43.6,-1,0,16000000.0,Красносельский,проспект Героев,34,Ленинский проспект,Жемчужный берег
ФСК,developer,https://spb.cian.ru/sale/flat/295183655/,Санкт-Петербург,sale,flat,3,17,3,68.74,-1,0,10538116.0,Невский,Невский,,,Зум на Неве ЖК
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/304745844/,Санкт-Петербург,sale,flat,4,5,1,31.13,-1,0,6100203.0,Московский,Пулковский меридиан,,Звездная,Парадный ансамбль
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/303625907/,Санкт-Петербург,sale,flat,1,5,1,31.8,-1,0,6400000.0,Московский,Алтайская ,29,Московская,
ПетербургНедвижимость,real_estate_agent,https://spb.cian.ru/sale/flat/295331946/,Санкт-Петербург,sale,flat,3,5,2,44.5,-1,0,6650000.0,Калининский,Лужская ,14К2,Гражданский проспект,
AAG,developer,https://spb.cian.ru/sale/flat/298267697/,Санкт-Петербург,sale,flat,2,7,3,77.14,-1,0,42407252.0,Василеостровский,Васильевский,,Василеостровская,Amo
Кристалл,real_estate_agent,https://spb.cian.ru/sale/flat/304319003/,Санкт-Петербург,sale,flat,1,5,2,44.1,-1,0,6870000.0,Пушкинский,бульвар Алексея Толстого,46,Купчино,
НАШ ГОРОД,real_estate_agent,https://spb.cian.ru/sale/flat/304293894/,Санкт-Петербург,sale,flat,1,5,2,42.5,-1,0,8000000.0,Кировский,Автовская ,28/30,Кировский завод,
Шельф,developer,https://spb.cian.ru/sale/flat/296842453/,Санкт-Петербург,sale,flat,14,26,1,30.4,-1,0,6961600.0,Пушкинский,проспект Новгородский,2к3,Шушары,Simple
ID 41291879,official_representative,https://spb.cian.ru/sale/flat/298202921/,Санкт-Петербург,sale,flat,8,14,1,39.6,-1,0,9200000.0,Невский,Варфоломеевская ,6,Ломоносовская,Апарт-отель Начало
Реал Лидер,real_estate_agent,https://spb.cian.ru/sale/flat/303462738/,Санкт-Петербург,sale,flat,15,23,1,38.2,-1,0,6800000.0,Выборгский,Заречная ,10,Парнас,Прагма city
Euroinvest Development,developer,https://spb.cian.ru/sale/flat/293271694/,Санкт-Петербург,sale,flat,2,12,1,32.67,-1,0,9572310.0,Выборгский,проспект Энгельса,29,Удельная,ID Svetlanovskiy
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/304591091/,Санкт-Петербург,sale,flat,12,17,3,78.8,-1,0,15300000.0,Приморский, Оптиков,49к2,Старая Деревня,
ЕОН Недвижимость,real_estate_agent,https://spb.cian.ru/sale/flat/304094602/,Санкт-Петербург,sale,flat,1,17,1,35.3,-1,0,6650000.0,Невский, Бадаева,8к1,Проспект Большевиков,на ул. Бадаева и ул. Коллонтай
Стоун,developer,https://spb.cian.ru/sale/flat/294086772/,Санкт-Петербург,sale,flat,4,10,3,70.65,-1,0,8371700.0,Пушкинский,,,Шушары,Полет ЖК
House Estate,real_estate_agent,https://spb.cian.ru/sale/flat/303278433/,Санкт-Петербург,sale,flat,4,17,1,37.3,-1,0,8500000.0,Невский,проспект Солидарности,14к1,Улица Дыбенко,
Кристалл,real_estate_agent,https://spb.cian.ru/sale/flat/304588100/,Санкт-Петербург,sale,flat,3,12,2,49.5,-1,0,8900000.0,Красногвардейский,проспект Наставников,20К2,Ладожская,
К-25,developer,https://spb.cian.ru/sale/flat/302924775/,Санкт-Петербург,sale,flat,3,12,2,37.5,-1,0,9000000.0,Приморский,м. Комендантский проспект,,Комендантский проспект,YE'S Primorsky Комплекс Апартаментов
House Estate,real_estate_agent,https://spb.cian.ru/sale/flat/304603588/,Санкт-Петербург,sale,flat,3,3,1,28.7,-1,0,9150000.0,Московский,Московский проспект,134Б,Московские ворота,
КВС,real_estate_agent,https://spb.cian.ru/sale/flat/300274207/,Санкт-Петербург,sale,flat,1,5,1,33.1,-1,0,9500000.0,Красносельский,набережная Матисова канала,5,Ленинский проспект,Наутилус
Монолит,developer,https://spb.cian.ru/sale/flat/296210630/,Санкт-Петербург,sale,flat,2,15,2,53.6,-1,0,9879930.0,Невский, Крыленко,14с3,Улица Дыбенко,WINGS апартаменты на Крыленко
Терминал-Ресурс,developer,https://spb.cian.ru/sale/flat/296121267/,Санкт-Петербург,sale,flat,1,4,2,58.34,-1,0,10017800.0,Пушкинский,,,Купчино,Образцовый квартал 14 ЖК
Вероника Корбут,realtor,https://spb.cian.ru/sale/flat/302616766/,Санкт-Петербург,sale,flat,13,19,2,52.4,-1,0,10490000.0,Красносельский,проспект Кузнецова,10к2,Ленинский проспект,Южный
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/303058914/,Санкт-Петербург,sale,flat,20,20,2,51.4,-1,0,11297720.0,Красногвардейский,м. Гражданский проспект,,Гражданский проспект,Ручьи ЖК
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/302441056/,Санкт-Петербург,sale,flat,1,4,2,59.47,-1,0,11900110.0,Пушкинский,,,Купчино,Универ Сити ЖК
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303691311/,Санкт-Петербург,sale,flat,8,12,2,55.25,-1,0,13000159.0,Приморский,Коломяги,,Проспект Просвещения,Бионика Заповедная
Терминал-Ресурс,developer,https://spb.cian.ru/sale/flat/296122006/,Санкт-Петербург,sale,flat,1,4,3,76.21,-1,0,13055700.0,Пушкинский,,,Купчино,Образцовый квартал 14 ЖК
ФСК,developer,https://spb.cian.ru/sale/flat/295182540/,Санкт-Петербург,sale,flat,12,17,3,82.11,-1,0,13556689.0,Невский,Невский,,,Зум на Неве ЖК
Анна Баранова,realtor,https://spb.cian.ru/sale/flat/296485758/,Санкт-Петербург,sale,flat,7,14,2,57.7,-1,0,15867500.0,Василеостровский,набережная Реки Смоленки,35к1,Приморская,Айно
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303980485/,Санкт-Петербург,sale,flat,5,5,3,77.8,-1,0,15800440.0,Московский,Пулковское шоссе,103В,Звездная,Парадный ансамбль
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/285507432/,Санкт-Петербург,sale,flat,2,12,2,63.01,-1,0,16192743.0,Московский,Звёздное,,Звездная,Аквилон Ливз ЖК
House Estate,real_estate_agent,https://spb.cian.ru/sale/flat/298588228/,Санкт-Петербург,sale,flat,4,8,1,38.5,-1,0,16300000.0,Петроградский,Ремесленная ,17,Василеостровская,
Семейный Риэлтор,real_estate_agent,https://spb.cian.ru/sale/flat/292933470/,Санкт-Петербург,sale,flat,16,22,2,74.0,-1,0,16800000.0,Приморский,Лыжный переулок,4к1,Беговая,Ленинградская симфония
Анна Баранова,realtor,https://spb.cian.ru/sale/flat/304796542/,Санкт-Петербург,sale,flat,6,13,2,62.7,-1,0,17117000.0,Василеостровский,набережная Реки Смоленки,35к1,Приморская,Айно
Ленстройтрест,developer,https://spb.cian.ru/sale/flat/298650966/,Санкт-Петербург,sale,flat,3,8,3,87.22,-1,0,17348767.0,Приморский,Коломяги,,Проспект Просвещения,Окла ЖК
AAG,developer,https://spb.cian.ru/sale/flat/298267775/,Санкт-Петербург,sale,flat,3,12,1,40.9,-1,0,17336323.0,Красногвардейский,проспект Шаумяна,14,Новочеркасская,Alter
КВС,real_estate_agent,https://spb.cian.ru/sale/flat/300156177/,Санкт-Петербург,sale,flat,10,10,3,100.1,-1,0,17500000.0,Приморский, Оптиков,52к1,Беговая,
ПетербургНедвижимость,real_estate_agent,https://spb.cian.ru/sale/flat/276119119/,Санкт-Петербург,sale,flat,7,17,3,90.5,-1,0,17600000.0,Курортный, Токарева,2Б,,
Евгений Учаев,realtor,https://spb.cian.ru/sale/flat/304675563/,Санкт-Петербург,sale,flat,5,19,3,93.15,-1,0,18950000.0,Московский,Пулковское шоссе,20к4,Звездная,Пулковский посад
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/298769427/,Санкт-Петербург,sale,flat,6,12,3,90.25,-1,0,19400591.0,Приморский,Коломяги,,Проспект Просвещения,Бионика Заповедная
GloraX,developer,https://spb.cian.ru/sale/flat/304043677/,Санкт-Петербург,sale,flat,3,20,2,86.4,-1,0,19711763.0,Василеостровский, Челюскина,8,,Golden City
Группа Аквилон,developer,https://spb.cian.ru/sale/flat/289467072/,Санкт-Петербург,sale,flat,10,12,3,79.01,-1,0,20014020.0,Московский,Звёздное,,Звездная,Аквилон Ливз ЖК
Euroinvest Development,developer,https://spb.cian.ru/sale/flat/267475944/,Санкт-Петербург,sale,flat,3,10,1,41.98,-1,0,20150400.0,Московский,Московский проспект,72к2,Фрунзенская,ID Moskovskiy
Ленстройтрест,developer,https://spb.cian.ru/sale/flat/298651778/,Санкт-Петербург,sale,flat,3,7,2,84.37,-1,0,20233160.0,Приморский,набережная Реки Каменки,3к3,Озерки,Окла
Интеском,developer,https://spb.cian.ru/sale/flat/301400753/,Санкт-Петербург,sale,flat,4,4,2,72.3,-1,0,20244000.0,Выборгский, Береговая,12,Проспект Просвещения,Loft у Озера
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/296594204/,Санкт-Петербург,sale,flat,4,12,3,72.1,-1,0,21766990.0,Красногвардейский,Партизанская ,,Новочеркасская,ЛСР. Большая Охта
Интеском,developer,https://spb.cian.ru/sale/flat/294140959/,Санкт-Петербург,sale,flat,2,5,3,93.75,-1,0,24375000.0,Выборгский, Береговая,6,Проспект Просвещения,Loft у Озера
House Estate,real_estate_agent,https://spb.cian.ru/sale/flat/298588030/,Санкт-Петербург,sale,flat,4,8,2,65.77,-1,0,24500000.0,Петроградский,Ремесленная ,17,Василеостровская,
Ленстройтрест,developer,https://spb.cian.ru/sale/flat/298651618/,Санкт-Петербург,sale,flat,25,25,4,116.93,-1,0,27092681.0,Приморский,Коломяги,,Проспект Просвещения,Окла ЖК
Балтийская жемчужина,developer,https://spb.cian.ru/sale/flat/297300105/,Санкт-Петербург,sale,flat,2,4,3,97.2,-1,0,27905148.0,Красносельский,проспект Патриотов,33,,Riviera club
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/294660773/,Санкт-Петербург,sale,flat,14,14,4,107.8,-1,0,28243600.0,Василеостровский,набережная Миклухо-Маклая,1к1,Горный институт,Морская набережная. SeaView
AAG,developer,https://spb.cian.ru/sale/flat/298267765/,Санкт-Петербург,sale,flat,1,7,2,63.0,-1,0,30162888.0,Василеостровский,20-я Васильевского острова линия,5,Горный институт,Маленькая Франция
Престиж,real_estate_agent,https://spb.cian.ru/sale/flat/303000347/,Санкт-Петербург,sale,flat,12,12,3,108.0,-1,0,31000000.0,Приморский,проспект Авиаконструкторов,54,Комендантский проспект,Modum
House Estate,real_estate_agent,https://spb.cian.ru/sale/flat/302383335/,Санкт-Петербург,sale,flat,13,18,3,125.0,-1,0,31850000.0,Василеостровский,Галерный проезд,5,Приморская,Галерный проезд
NF GROUP  St Petersburg,real_estate_agent,https://spb.cian.ru/sale/flat/302609923/,Санкт-Петербург,sale,flat,4,4,3,110.0,-1,0,33000000.0,Адмиралтейский,Никольский переулок,4,Садовая,
City Solutions,developer,https://spb.cian.ru/sale/flat/298474339/,Санкт-Петербург,sale,flat,2,10,3,92.75,-1,0,33315410.0,Приморский,набережная Черной речки,1,Черная речка,Министр
Richness Realty,real_estate_agent,https://spb.cian.ru/sale/flat/294736889/,Санкт-Петербург,sale,flat,3,6,3,99.1,-1,0,37200000.0,Выборгский,Костромской проспект,45,Удельная,
ПетербургНедвижимость,real_estate_agent,https://spb.cian.ru/sale/flat/303799087/,Санкт-Петербург,sale,flat,1,4,1,51.7,-1,0,39900000.0,Петроградский,проспект Добролюбова,1/79,Спортивная,
